Surname,First Name,Team,AB,R,H,H2,H3,HR,RBI,TB,AVG,SLG,OBP,OPS,BB,HBP,SO,GDP,SF,SH,SB,CS
CINELLI,Niccolò,GRO,20,2,3,0,0,1,2,6,0.150,0.300,0.320,0.620,5,0,7,1,0,0,0,0
CIRILLI,Mattia,MOD,7,0,2,0,0,0,0,2,0.286,0.286,0.286,0.572,0,0,3,0,0,0,1,0
CIRILLO,Riccardo,SET,7,1,3,1,0,0,4,4,0.429,0.571,0.556,1.127,2,0,2,0,0,0,0,0
COCCHI,Alex,ATL,13,1,4,0,0,0,1,4,0.308,0.308,0.438,0.746,3,0,4,2,0,0,0,0
COFFRINI,Luca,COL,16,2,3,1,0,0,1,4,0.188,0.250,0.381,0.631,4,1,5,1,0,0,0,0
CONTINI,Antonio,CAN,7,3,1,1,0,0,0,2,0.143,0.286,0.333,0.619,1,1,2,0,0,0,0,0
CONTU,Michele,CAG,5,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
CORIO,Giuseppe,COD,21,3,4,1,1,0,4,7,0.190,0.333,0.250,0.583,0,2,11,0,1,0,0,0
CORRADIN,Michael,ATL,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0
CORRADO,Alessio,MOD,4,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0,3,0,0,0,0,0
CORTESI,Yuri,RIM,24,2,3,0,0,0,1,3,0.125,0.125,0.192,0.317,2,0,9,1,0,1,0,1
COVATI,Matteo,CRO,26,3,6,2,0,0,4,8,0.231,0.308,0.300,0.608,3,0,12,0,1,0,0,0
CRISTIANO,Andrea,SEN,4,0,1,0,0,0,0,1,0.250,0.250,0.400,0.650,1,0,1,0,0,0,1,1
CUESTA LINDSAY,José Pablo,CAG,15,8,9,1,0,3,9,19,0.600,1.267,0.760,2.027,9,1,3,0,0,0,0,0
CUGIA,Domenico Andrea,CAN,18,2,4,0,1,0,6,6,0.222,0.333,0.250,0.583,0,1,6,0,1,0,3,0
CUGIA,Marco,CAN,8,1,2,0,0,0,0,2,0.250,0.250,0.500,0.750,4,0,4,0,0,1,0,0
D'AMICO ALVAREZ,Eliezer Orlando,CAN,23,8,13,4,1,1,10,22,0.565,0.957,0.621,1.578,4,1,5,0,1,0,3,0
D'AMICO,Leonardo Saulle,CAN,2,0,1,1,0,0,0,2,0.500,1.000,0.500,1.500,0,0,1,0,0,0,0,0
D'AURIA,Lorenzo,LIN,27,3,9,0,0,0,2,9,0.333,0.333,0.379,0.712,2,0,8,0,0,1,0,2
DA RE,Giulio,RON,28,6,10,2,1,0,5,14,0.357,0.500,0.471,0.971,5,1,6,0,0,0,0,0
DADDI,Filippo,COL,19,0,4,0,0,0,3,4,0.211,0.211,0.261,0.472,2,0,4,0,2,0,1,0
